Ticker,Current Price (₹),Prev Close (₹),Gain %,Volume,10D Avg Volume,Vol Surge (x),Scan Time (IST)
NAVA,703.1,626.5,12.23,25538118,370165,68.99,17-Apr-2026  03:56 PM IST
MMTC,68.32,61.91,10.35,97316625,3275632,29.71,17-Apr-2026  03:56 PM IST
ANGELONE,322.47,292.61,10.2,80862076,12909552,6.26,17-Apr-2026  03:56 PM IST
IRCON,154.69,142.37,8.65,41378437,4816802,8.59,17-Apr-2026  03:56 PM IST
GUJGASLTD,362.8,335.5,8.14,6733478,1207475,5.58,17-Apr-2026  03:56 PM IST
GSPL,272.41,252.29,7.97,31562654,1034659,30.51,17-Apr-2026  03:56 PM IST
TRITURBINE,515.45,477.8,7.88,6236175,852896,7.31,17-Apr-2026  03:56 PM IST
COHANCE,390.55,362.95,7.6,13513749,6531241,2.07,17-Apr-2026  03:56 PM IST
AEGISLOG,709.3,659.55,7.54,6929914,1403655,4.94,17-Apr-2026  03:56 PM IST
JINDALSAW,236.28,221.42,6.71,8538793,2988631,2.86,17-Apr-2026  03:56 PM IST
COLPAL,2106.0,1977.4,6.5,2100594,394810,5.32,17-Apr-2026  03:56 PM IST
EMAMILTD,452.1,425.5,6.25,1402971,549204,2.55,17-Apr-2026  03:56 PM IST
CHENNPETRO,1041.85,980.8,6.22,3701490,2068804,1.79,17-Apr-2026  03:56 PM IST
ZENTEC,1616.5,1524.3,6.05,1248604,669940,1.86,17-Apr-2026  03:56 PM IST
CARBORUNIV,940.1,886.7,6.02,870307,295223,2.95,17-Apr-2026  03:56 PM IST
ACMESOLAR,304.65,287.45,5.98,3736873,2346113,1.59,17-Apr-2026  03:56 PM IST
ATGL,632.9,597.6,5.91,8865094,4201513,2.11,17-Apr-2026  03:56 PM IST
ENGINERSIN,241.8,228.32,5.9,24940097,4996789,4.99,17-Apr-2026  03:56 PM IST
SCI,305.87,288.93,5.86,99821690,7649926,13.05,17-Apr-2026  03:56 PM IST
MINDACORP,532.8,505.65,5.37,837000,443943,1.89,17-Apr-2026  03:56 PM IST
SUZLON,52.93,50.25,5.33,337136379,98440470,3.42,17-Apr-2026  03:56 PM IST
NAM-INDIA,1015.05,964.85,5.2,2326809,1479214,1.57,17-Apr-2026  03:56 PM IST
ECLERX,1631.1,1551.3,5.14,613571,325190,1.89,17-Apr-2026  03:56 PM IST
CRISIL,4335.4,4126.3,5.07,444364,87123,5.1,17-Apr-2026  03:56 PM IST
RADICO,3186.9,3036.4,4.96,1189035,448552,2.65,17-Apr-2026  03:56 PM IST
APLLTD,784.75,748.3,4.87,237737,76863,3.09,17-Apr-2026  03:56 PM IST
WHIRLPOOL,889.8,848.65,4.85,622745,216880,2.87,17-Apr-2026  03:56 PM IST
