Ticker Name,Current Price,Gain %,Volume,10 Days Avg Volume
NAVA,703.1,12.23,25538118,370165
MMTC,68.32,10.35,97316625,3275632
ANGELONE,322.47,10.2,80862076,12909552
VSTIND,264.83,9.65,15788400,212328
IRCON,154.69,8.65,41378437,4816802
GUJGASLTD,362.8,8.14,6733478,1207475
GSPL,272.41,7.97,31562654,1034659
TRITURBINE,515.45,7.88,6236175,852896
COHANCE,390.55,7.6,13513749,6531241
AEGISLOG,709.3,7.54,6929914,1403655
SHAKTIPUMP,573.75,7.33,4879409,1331778
JINDALSAW,236.28,6.71,8538793,2988631
COLPAL,2106.0,6.5,2100594,394810
PRIVISCL,3133.1,6.42,367867,111502
SKIPPER,433.35,6.4,1069270,325177
ABDL,573.8,6.36,1080212,693972
EMAMILTD,452.1,6.25,1402971,549204
CHENNPETRO,1041.85,6.22,3701490,2068804
ZENTEC,1616.5,6.05,1248604,669940
CARBORUNIV,940.1,6.02,870307,295223
ACMESOLAR,304.65,5.98,3736873,2346113
ATGL,632.9,5.91,8865094,4201513
ENGINERSIN,241.8,5.9,24940097,4996789
OSWALPUMPS,432.55,5.87,2802062,1294963
SCI,305.87,5.86,99821690,7649926
AVANTIFEED,1473.3,5.83,3415372,1529198
GNFC,489.7,5.76,1003519,323347
IIFLCAPS,313.44,5.6,1116023,505201
JAIBALAJI,72.48,5.44,3942817,2536757
MINDACORP,532.8,5.37,837000,443943
KRN,1269.9,5.35,2692490,1379066
SUZLON,52.93,5.33,337136379,98440470
TI,470.0,5.3,1771895,513999
WAAREERTL,1116.1,5.26,17140826,600619
BBL,2753.2,5.24,65026,38655
NAM-INDIA,1015.05,5.2,2326809,1479214
ECLERX,1631.1,5.14,613571,325190
CRISIL,4335.4,5.07,444364,87123
RADICO,3186.9,4.96,1189035,448552
APLLTD,784.75,4.87,237737,76863
WHIRLPOOL,889.8,4.85,622745,216880
HINDUNILVR,2240.8,4.75,4882390,2166979
MRPL,183.13,4.69,10905084,6038794
